Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,Season
MJ Melendez,27.6,276,55,0,0,KANSAS-CITY,2023
Drew Waters,28.7,100,84,5,3,KANSAS-CITY,2023
Maikel Garcia,28.2,164,73,18,9,KANSAS-CITY,2023
Bobby Witt Jr.,30.5,2,100,25,7,KANSAS-CITY,2023
Nick Loftin,27.2,326,47,1,1,KANSAS-CITY,2023
Dairon Blanco,30.3,3,100,3,2,KANSAS-CITY,2023
Vinnie Pasquantino,25.8,527,14,1,0,KANSAS-CITY,2023
Michael Massey,27.3,312,49,1,0,KANSAS-CITY,2023
Miguel Rojas,26.4,444,28,1,0,LA-DODGERS,2023
Freddie Freeman,26.7,408,34,1,1,LA-DODGERS,2023
Enrique Hernández,26.9,387,37,0,0,LA-DODGERS,2023
Max Muncy,26.9,386,37,4,0,LA-DODGERS,2023
Austin Barnes,26.5,437,29,0,0,LA-DODGERS,2023
Mookie Betts,27.2,325,47,6,0,LA-DODGERS,2023
Chris Taylor,28.3,159,74,0,1,LA-DODGERS,2023
Will Smith,27.2,342,44,2,3,LA-DODGERS,2023
James Outman,28.9,71,89,0,0,LA-DODGERS,2023
Riley Adams,26.2,475,23,0,0,WASHINGTON,2023
Keibert Ruiz,25.1,563,8,0,2,WASHINGTON,2023
Alex Call,28.8,82,87,1,0,WASHINGTON,2023
Luis García Jr.,27.2,328,47,8,4,WASHINGTON,2023
CJ Abrams,28.6,111,82,20,2,WASHINGTON,2023
Drew Millas,28.5,123,80,0,0,WASHINGTON,2023
Jacob Young,30.0,11,98,10,9,WASHINGTON,2023
Seth Brown,27.3,310,50,1,0,OAKLAND,2023
Brent Rooker,27.1,358,42,3,1,OAKLAND,2023
JJ Bleday,27.2,343,44,1,2,OAKLAND,2023
Shea Langeliers,28.4,134,78,4,1,OAKLAND,2023
Lawrence Butler,27.4,289,53,16,4,OAKLAND,2023
Zack Gelof,29.0,58,91,0,0,OAKLAND,2023
Tyler Soderstrom,25.7,537,13,5,2,OAKLAND,2023
Andrew McCutchen,28.4,140,77,1,0,PITTSBURGH,2023
Ke'Bryan Hayes,27.1,354,42,10,2,PITTSBURGH,2023
Oneil Cruz,28.7,103,83,29,4,PITTSBURGH,2023
Bryan Reynolds,27.8,242,61,3,2,PITTSBURGH,2023
Jack Suwinski,28.6,119,81,5,1,PITTSBURGH,2023
Jared Triolo,28.4,143,77,5,1,PITTSBURGH,2023
Ji Hwan Bae,29.7,18,97,2,0,PITTSBURGH,2023
Liover Peguero,29.3,33,95,0,0,PITTSBURGH,2023
Henry Davis,28.2,168,73,0,1,PITTSBURGH,2023
Endy Rodríguez,27.8,241,61,0,1,PITTSBURGH,2023
Nick Gonzales,28.8,84,87,0,1,PITTSBURGH,2023
Manny Machado,26.3,465,24,8,2,SAN-DIEGO,2023
Xander Bogaerts,27.6,260,58,15,1,SAN-DIEGO,2023
Jake Cronenworth,28.3,160,74,2,1,SAN-DIEGO,2023
Fernando Tatis Jr.,29.3,40,94,21,3,SAN-DIEGO,2023
Luis Campusano,25.8,530,14,0,0,SAN-DIEGO,2023
J.P. Crawford,26.7,401,35,5,1,SEATTLE,2023
Cal Raleigh,27.0,371,40,10,2,SEATTLE,2023
Dylan Moore,27.7,252,59,9,4,SEATTLE,2023
Julio Rodríguez,29.6,23,96,17,4,SEATTLE,2023
Dominic Canzone,26.7,411,33,1,1,SEATTLE,2023
Wilmer Flores,24.4,592,4,1,0,SAN-FRANCISCO,2023
Mike Yastrzemski,27.0,369,40,6,2,SAN-FRANCISCO,2023
LaMonte Wade Jr.,26.0,497,19,0,0,SAN-FRANCISCO,2023
Tyler Fitzgerald,30.1,6,99,9,4,SAN-FRANCISCO,2023
Casey Schmitt,28.0,193,69,0,0,SAN-FRANCISCO,2023
Heliot Ramos,26.9,376,39,5,4,SAN-FRANCISCO,2023
Patrick Bailey,26.2,479,22,0,0,SAN-FRANCISCO,2023
David Villar,25.9,512,17,0,0,SAN-FRANCISCO,2023
Luis Matos,27.7,248,60,2,0,SAN-FRANCISCO,2023
Brett Wisely,27.9,217,65,0,1,SAN-FRANCISCO,2023
